"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Evan Engram (JAC)","11","15","162","14.7","25","3","2","0","0","0","0","1","28.2","28.2","94.9%"
"2","Chigoziem Okonkwo (TEN)","6","6","45","7.5","15","0","1","1","0","0","0","1","12.5","12.5","30.6%"
"3","David Njoku (CLE)","7","9","59","8.4","14","0","1","1","-2","0","0","1","11.7","11.7","90.8%"
"4","Dawson Knox (BUF)","4","7","41","10.3","24","1","1","0","0","0","0","1","10.1","10.1","5.4%"
"5","Pat Freiermuth (PIT)","3","6","33","11.0","14","0","1","0","0","0","0","1","9.3","9.3","72.6%"
"6","Dalton Schultz (HOU)","6","10","87","14.5","22","2","0","0","0","0","0","1","8.7","8.7","80.4%"
"7","Travis Kelce (KC)","4","9","71","17.8","37","2","0","0","0","0","0","1","7.1","7.1","100.0%"
"8","Hunter Henry (NE)","3","3","70","23.3","39","4","0","0","0","0","0","1","7.0","7.0","20.1%"
"9","Austin Hooper (LV)","5","5","68","13.6","24","1","0","0","0","0","0","1","6.8","6.8","0.3%"
"10","T.J. Hockenson (MIN)","6","8","77","12.8","21","1","0","0","0","0","1","1","5.7","5.7","99.2%"
"11","Noah Gray (KC)","3","3","45","15.0","25","1","0","0","0","0","0","1","4.5","4.5","1.1%"
"12","Greg Dulcich (DEN)","3","8","42","14.0","23","1","0","0","0","0","0","1","4.2","4.2","5.8%"
"13","George Kittle (SF)","4","5","28","7.0","15","0","0","0","0","0","0","1","2.8","2.8","99.7%"
"14","Trey McBride (ARI)","3","6","28","9.3","15","0","0","0","0","0","0","1","2.8","2.8","80.4%"
"15","Cade Otton (TB)","4","5","28","7.0","11","0","0","0","0","0","0","1","2.8","2.8","34.1%"
"16","Gerald Everett (LAC)","5","8","28","5.6","11","0","0","0","0","0","0","1","2.8","2.8","34.0%"
"17","Tyler Conklin (NYJ)","5","8","28","5.6","7","0","0","0","0","0","0","1","2.8","2.8","20.0%"
"18","Grant Calcaterra (PHI)","2","4","24","12.0","13","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"19","Chris Manhertz (DEN)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.0%"
"20","Jack Stoll (PHI)","2","2","20","10.0","14","0","0","0","0","0","0","1","2.0","2.0","0.2%"
"21","Will Dissly (SEA)","2","3","20","10.0","12","0","0","0","0","0","0","1","2.0","2.0","0.1%"
