"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Taysom Hill (NO)","2","3","35","17.5","30","2","1","3","10","0","0","1","11.3","11.3","77.0%"
"2","Noah Fant (SEA)","4","5","42","10.5","17","0","1","0","0","0","0","1","10.2","10.2","1.8%"
"3","Evan Engram (JAC)","5","7","30","6.0","7","0","1","0","0","0","0","1","9.0","9.0","94.9%"
"4","Cade Otton (TB)","6","10","28","4.7","10","0","1","0","0","0","0","1","8.8","8.8","34.1%"
"5","Greg Dulcich (DEN)","6","8","85","14.2","30","3","0","0","0","0","0","1","8.5","8.5","5.8%"
"6","Gerald Everett (LAC)","5","6","80","16.0","19","0","0","0","0","0","0","1","8.0","8.0","34.0%"
"7","Connor Heyward (PIT)","1","1","17","17.0","17","0","1","0","0","0","0","1","7.7","7.7","0.5%"
"8","Pat Freiermuth (PIT)","3","5","76","25.3","57","4","0","0","0","0","0","1","7.6","7.6","72.6%"
"9","Cole Kmet (CHI)","6","7","72","12.0","24","1","0","0","0","0","0","1","7.2","7.2","82.2%"
"10","Chigoziem Okonkwo (TEN)","4","5","68","17.0","41","3","0","0","0","0","0","1","6.8","6.8","30.6%"
"11","MyCole Pruitt (ATL)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"12","Mark Andrews (BAL)","4","7","53","13.3","22","1","0","1","1","0","0","1","5.4","5.4","57.4%"
"13","Brevin Jordan (HOU)","4","5","46","11.5","20","1","0","0","0","0","0","1","4.6","4.6","7.6%"
"14","Jack Stoll (PHI)","3","3","41","13.7","26","1","0","0","0","0","0","1","4.1","4.1","0.2%"
"15","Travis Kelce (KC)","4","6","56","14.0","19","0","0","0","0","0","1","1","3.6","3.6","100.0%"
"16","Dalton Schultz (HOU)","2","6","33","16.5","22","1","0","0","0","0","0","1","3.3","3.3","80.4%"
"17","T.J. Hockenson (MIN)","4","6","33","8.3","13","0","0","0","0","0","0","1","3.3","3.3","99.2%"
"18","Foster Moreau (NO)","1","3","32","32.0","32","2","0","0","0","0","0","1","3.2","3.2","0.1%"
"19","C.J. Uzomah (NYJ)","1","1","31","31.0","31","2","0","0","0","0","0","1","3.1","3.1","0.1%"
"20","Isaiah Likely (BAL)","4","4","30","7.5","12","0","0","0","0","0","0","1","3.0","3.0","38.8%"
"21","Adam Trautman (DEN)","2","3","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","0.4%"
"22","Jelani Woods (IND)","2","4","28","14.0","27","1","0","0","0","0","0","1","2.8","2.8","0.9%"
"23","Brock Wright (DET)","2","2","25","12.5","14","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"24","Daniel Bellinger (NYG)","5","5","24","4.8","8","0","0","0","0","0","0","1","2.4","2.4","0.8%"
"25","Anthony Firkser (DET)","2","2","24","12.0","15","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"26","Austin Hooper (LV)","3","5","22","7.3","9","0","0","0","0","0","0","1","2.2","2.2","0.3%"
"27","George Kittle (SF)","2","3","22","11.0","19","0","0","0","0","0","0","1","2.2","2.2","99.7%"
"28","Will Dissly (SEA)","2","2","22","11.0","19","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"29","Durham Smythe (MIA)","2","2","21","10.5","19","0","0","0","0","0","0","1","2.1","2.1","0.5%"
"30","Jordan Akins (CLE)","3","6","21","7.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"31","Marcedes Lewis (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"32","Logan Thomas (WAS)","3","4","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","53.5%"
"33","Grant Calcaterra (PHI)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"34","Kylen Granson (IND)","4","6","19","4.8","9","0","0","0","0","0","0","1","1.9","1.9","0.8%"
"35","Parker Hesse (ATL)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"36","Noah Gray (KC)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"37","Harrison Bryant (CLE)","1","1","6","6.0","6","0","0","1","8","0","0","1","1.4","1.4","0.7%"
"38","Tyler Kroft (MIA)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"39","Tyler Higbee (LAR)","2","5","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","44.3%"
"40","Mitchell Wilcox (CIN)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"41","Hunter Henry (NE)","2","5","13","6.5","9","0","0","0","0","0","0","1","1.3","1.3","20.1%"
"42","Johnny Mundt (MIN)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"43","Colby Parkinson (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"44","Ko Kieft (TB)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"45","Hayden Hurst (CAR)","2","3","12","6.0","9","0","0","0","0","0","0","1","1.2","1.2","3.3%"
"46","Pharaoh Brown (NE)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"47","Robert Tonyan (CHI)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"48","Tyler Conklin (NYJ)","2","7","9","4.5","6","0","0","0","0","0","0","1","0.9","0.9","20.0%"
"49","Zach Gentry (CIN)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"50","Tre' McKitty (BUF)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"51","Jody Fortson (KC)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"52","Jonnu Smith (ATL)","2","2","6","3.0","6","0","0","0","0","0","0","1","0.6","0.6","18.3%"
"53","Geoff Swaim (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"54","Shane Zylstra (DET)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"55","Luke Farrell (JAC)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"56","Stone Smartt (LAC)","2","3","3","1.5","5","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"57","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Dawson Knox (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.4%"
"59","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Tommy Sweeney (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","Josiah Deguara (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"64","Teagan Quitoriano (HOU)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Cole Turner (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
