"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cole Kmet (CHI)","4","7","74","18.5","50","4","2","0","0","0","0","1","19.4","19.4","82.2%"
"2","Travis Kelce (KC)","6","7","81","13.5","46","3","1","0","0","0","0","1","14.1","14.1","100.0%"
"3","Dalton Schultz (HOU)","6","8","54","9.0","16","0","1","0","0","0","0","1","11.4","11.4","80.4%"
"4","Juwan Johnson (NO)","5","7","44","8.8","15","0","1","0","0","0","0","1","10.4","10.4","20.9%"
"5","Foster Moreau (NO)","3","4","43","14.3","21","1","1","0","0","0","0","1","10.3","10.3","0.1%"
"6","Noah Gray (KC)","2","2","20","10.0","13","0","1","0","0","0","0","1","8.0","8.0","1.1%"
"7","Harrison Bryant (CLE)","3","3","15","5.0","12","0","1","0","0","0","0","1","7.5","7.5","0.7%"
"8","Tyler Higbee (LAR)","8","8","73","9.1","25","1","0","0","0","0","0","1","7.3","7.3","44.3%"
"9","Jordan Akins (CLE)","3","3","72","24.0","46","3","0","0","0","0","0","1","7.2","7.2","0.0%"
"10","Dallas Goedert (PHI)","3","3","23","7.7","15","0","1","0","0","0","1","1","6.3","6.3","82.7%"
"11","Brock Wright (DET)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"12","Kylen Granson (IND)","4","4","57","14.3","32","2","0","0","0","0","0","1","5.7","5.7","0.8%"
"13","Dawson Knox (BUF)","4","6","57","14.3","22","1","0","0","0","0","0","1","5.7","5.7","5.4%"
"14","T.J. Hockenson (MIN)","7","10","45","6.4","16","0","0","0","0","0","0","1","4.5","4.5","99.2%"
"15","Austin Hooper (LV)","5","7","41","8.2","17","0","0","0","0","0","0","1","4.1","4.1","0.3%"
"16","Chigoziem Okonkwo (TEN)","1","2","41","41.0","41","3","0","0","0","0","0","1","4.1","4.1","30.6%"
"17","Pat Freiermuth (PIT)","4","7","36","9.0","12","0","0","0","0","0","0","1","3.6","3.6","72.6%"
"18","Cade Otton (TB)","3","3","35","11.7","25","1","0","0","0","0","0","1","3.5","3.5","34.1%"
"19","Noah Fant (SEA)","3","4","34","11.3","15","0","0","0","0","0","0","1","3.4","3.4","1.8%"
"20","Mike Gesicki (NE)","2","3","31","15.5","16","0","0","0","0","0","0","1","3.1","3.1","3.3%"
"21","Kyle Pitts (ATL)","2","8","28","14.0","18","0","0","0","0","0","0","1","2.8","2.8","81.5%"
"22","Will Dissly (SEA)","2","2","28","14.0","15","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"23","Tanner Hudson (CIN)","3","3","24","8.0","16","0","0","0","0","0","0","1","2.4","2.4","4.3%"
"24","Gerald Everett (LAC)","2","2","23","11.5","17","0","0","0","0","0","0","1","2.3","2.3","34.0%"
"25","Adam Trautman (DEN)","2","3","22","11.0","18","0","0","0","0","0","0","1","2.2","2.2","0.4%"
"26","Tre' McKitty (BUF)","3","6","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"27","George Kittle (SF)","1","2","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","99.7%"
"28","Evan Engram (JAC)","3","4","14","4.7","7","0","0","0","0","0","0","1","1.4","1.4","94.9%"
"29","Pharaoh Brown (NE)","2","5","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","0.0%"
